Refcode;Metal;Density (kg/m3);ASA (m2/g);NASA (m2/g);linker SMILES;Largest Cavity Diameter;Pore Limiting Diameter;Largest Free Sphere
FEVDIV;Ni;1.25075;0.0;24.3677;OC(=O)c1cc(cc(c1)c1ccncc1)c1ccncc1;4.12071;2.53635;4.10781
FEVFUJ;Cu;0.80611;1824.21;0.0;c1ccc(cc1)c1[nH]nc(c1c1c([nH]nc1c1ccccc1)c1ccccc1)c1ccccc1;10.99822;10.17688;10.99822
FEVGIZ;Ag;2.12003;0.0;0.0;Nc1cccc(c1)C(=O)O;2.40228;1.49236;2.39569
FEWGUL;La;1.68949;0.0;94.0786;OC(=O)c1cccc(c1)c1nnc(nn1)c1cccc(c1)C(=O)O;4.36081;3.73161;4.22756
FEWTAF;Fe;1.56116;0.0;0.0;OC(=O)c1cc(O)c(c(c1)O)O;3.60884;2.30992;3.59386
FEXCAO01;Co;1.78299;0.0;0.0;OC(=O)c1ccc(cc1)c1cncc(c1)C(=O)O;2.14735;1.07907;2.04493
FEXCES;Co;1.10993;948.754;0.0;OC(=O)c1ccc(cc1)c1cncc(c1)C(=O)O;5.88424;5.09304;5.88424
FEXJUQ;Fe;1.6212;0.0;0.0;OC(=O)c1cc(O)c(c(c1)O)O;3.53527;2.90794;3.52601
FEXKAX;Fe;1.64751;0.0;0.0;OC(=O)c1cc(O)c(c(c1)O)O;3.4317;2.70713;3.4317
FEYDET;In;1.74849;397.324;0.0;OC(=O)c1cc(cc(c1)C(=O)O)C(=O)O;5.39172;4.60807;5.30539
FEYJOJ;Co;1.25111;0.0;343.0;OC(=O)c1cc(cc(c1)C(=O)O)c1cc(cc(c1)C(=O)O)C(=O)O;4.83328;2.42498;4.83328
FEYQIK;Pr;1.43165;653.184;0.0;OC(=O)CCCCC(=O)O;5.68913;4.17822;5.68913
FEYQOQ;Pr;2.16928;0.0;0.0;OC(=O)CCCCC(=O)O;2.50889;1.57377;2.44453
FEZTEL;Ca;2.09225;0.0;0.0;OC(=O)c1ccc(s1)C(=O)O;1.34457;0.81365;1.15382
FEZTIP01;Ca;1.49312;0.0;0.0;OC(=O)c1ccc(s1)C(=O)O;2.73575;1.50563;2.73029
FIBHUW;Cd;2.11145;0.0;206.467;Nc1nnn[nH]1;5.89637;2.30098;5.82234
FIBJAE;Cd;3.00921;0.0;0.0;Nc1nnn[nH]1;2.0048;0.88414;1.97879
