refcode,linker SMILES,metal,Largest Cavity Diameter,Pore Limiting Diameter,Largest Free Sphere
XULDOZ,OC(=O)c1cc(OCCCCCOc2cc(cc(c2)C(=O)O)C(=O)O)cc(c1)C(=O)O,Co,4.29063,2.48068,4.28638
XULFOA,OC(=O)O,Cu,4.83965,3.12189,4.83965
XULGIW,OC(=O)c1ccc(cc1)C#Cc1ccc(cc1)C(=O)O,Zr,15.74473,8.80229,15.74473
XULQEA01,OC(=O)c1ccnc(c1)c1nccc(c1)C(=O)O,Tb,3.48057,1.27783,3.48057
XUMBEN,OC(=O)C(=O)O,Nd,2.55554,1.4075,2.55346
XUMMEZ,O=C(c1ccc(cc1)C(=O)Nc1cccnc1)Nc1cccnc1,Cu,8.05589,7.43078,8.05589
XUMMOJ,O=C(c1ccc(cc1)C(=O)Nc1cccnc1)Nc1cccnc1,Cu,8.37622,7.86065,8.37622
XUMMUP,O=C(c1cccc(c1)C(=O)Nc1cccnc1)Nc1cccnc1,Cu,8.43748,7.45692,8.43748
XUNGOD,OC(=O)c1ccncc1,Li,5.27654,3.81371,5.27654
XUNGUJ,OC(=O)c1ccncc1,Li,4.50446,4.03853,4.48515
XUNHAQ,OC(=O)c1ccncc1,Li,4.44876,3.93458,4.42627
XUNROP,OC(=O)c1ccncc1,Li,5.082,3.77684,5.05347
XUNSAC,OC(=O)c1ccncc1,Li,4.78336,3.78154,4.77852
XUNSEG,OC(=O)c1ccncc1,Li,5.12519,4.59555,5.12519
XUNSIK,OC(=O)c1ccncc1,Li,4.24603,3.78968,4.24027
XUNSOQ,OC(=O)c1ccncc1,Li,5.47061,4.41529,5.45212
XUNSUW,OC(=O)c1ccncc1,Li,2.34999,1.28685,2.32926
XUNTEH,OC(=O)c1ccncc1,Li,3.98973,3.58513,3.98214
XUNTEH01,OC(=O)c1ccncc1,Li,2.1021,1.22934,2.10054
XUNTIL,OC(=O)c1ccncc1,Li,4.3912,3.544,4.3912
XUPGOG,OC(=O)c1ccc(cc1)C(=O)O,Zn,14.86994,7.90063,14.86994
XUPSAE,OC(=O)c1cc(cc(c1)C(=O)O)c1cc(cc(c1)C(=O)O)C(=O)O,Al,6.99772,6.8615,6.99772
XUVQIQ,OC(=O)c1cc(c2cc(cc(c2)C(=O)O)C(=O)O)c(cc1C(=O)O)c1cc(cc(c1)C(=O)O)C(=O)O,Cd,5.30478,3.89306,5.16304
XUVQOW,OC(=O)c1cc(c2cc(cc(c2)C(=O)O)C(=O)O)c(cc1C(=O)O)c1cc(cc(c1)C(=O)O)C(=O)O,Cd,5.56104,3.13088,5.55843
XUWVEQ,OP(=O)(CCP(=O)(O)O)O,Ga,3.08675,2.23133,3.00977
XUYDIF,n1ccc(cc1)c1nnc(n1c1ccncc1)c1ccccn1,Cd,3.88622,2.90765,3.88622
XUYYIA,OC(=O)c1cc(ccc1c1ccc(cc1C(=O)O)C(=O)O)C(=O)O,Co,3.38512,1.63588,3.38512
XUZRIU,OC(=O)c1cc(ccc1C(=O)O)C(=O)O,Co,1.61958,0.77857,1.61958
YABHER,OC(=O)c1cc(cc(c1)C(=O)O)c1c(C)cc(cc1C)c1cc(C)c(c(c1)C)c1cc(cc(c1)C(=O)O)C(=O)O,Cu,12.27809,4.53795,12.27747
YABKEU,OC(=O)c1cc(cc(c1)C(=O)O)c1cc(cc(c1)C(=O)O)C(=O)O,Eu,7.09855,4.46466,7.08643
YADGIW,OC(=O)c1ccc(nc1)c1ccc(cn1)C(=O)O,Cd,5.40178,4.48533,5.40178
YAFJEX,OC(=O)c1cc(cc(c1)C(=O)O)N1CCN(CC1)c1cc(cc(c1)C(=O)O)C(=O)O,Cu,10.89243,5.19779,10.89243
YAGHUM,OC(=O)c1cc(C#Cc2cc(cc(c2)C(=O)O)C(=O)O)cc(c1)C(=O)O,Cu,10.97617,4.25438,10.97617
YAJMUU,OC(=O)c1ccc(c2c1cccc2)C(=O)O,Co,2.81395,1.77398,2.75818
YAJNEF,OC(=O)c1ccc(c2c1cccc2)C(=O)O,Zn,2.7489,1.37643,2.7418
YAMBIZ,OC(=O)C(=O)O,Ba,1.62944,0.60111,1.62944
YAMXOC,OC(=O)c1cc(cc(c1)C(=O)O)C(=O)O,In,6.24327,5.54015,6.2382
YAMYUJ,OC(=O)[C@@H]1CC[C@H](C=C1)c1cc(cc(c1)c1ccc(cc1)C(=O)O)c1ccc(cc1)C(=O)O,Zn,12.13137,9.20906,12.05744
YANBAR,OC=O,Co,4.95969,3.80563,4.94609
YANBAR01,OC=O,Co,4.65306,3.71769,4.64096
YANBAR02,OC=O,Co,4.99865,3.84475,4.98514
YANBAR03,OC=O,Co,4.71059,3.74,4.66327
YANBAR04,OC=O,Co,4.72553,3.63493,4.72553
YANMUY,OC(=O)c1cc(NNc2cc(cc(c2)C(=O)O)C(=O)O)cc(c1)C(=O)O,Zn,5.88176,4.7067,5.85926
YANVIV,OC=O,Fe,3.55912,2.16522,3.55793
YANVIV01,OC=O,Fe,3.52899,2.13835,3.52899
YANVIV02,OC=O,Fe,3.54149,2.13197,3.54149
YANWAO,OC=O,Mg,3.59659,2.15291,3.59595
YANWAO01,OC=O,Mg,3.57398,2.16812,3.57173
YANWAO02,OC=O,Mg,3.55678,2.16254,3.55678
YANWOC,OC=O,Mn,3.57342,2.19569,3.57037
YANWOC01,OC=O,Mn,3.58595,2.1784,3.58595
YANWOC02,OC=O,Mn,3.60274,2.16355,3.60274
YANWOC03,OC=O,Mn,3.54992,2.16066,3.51058
YANXIX,OC=O,Zn,3.5563,2.15409,3.48016
YANXIX01,OC=O,Zn,3.54608,2.14148,3.53291
YANXIX02,OC=O,Zn,3.51233,2.10824,3.49837
YANXIX03,OC=O,Zn,3.49661,2.10446,3.49661
YANXIX04,OC=O,Zn,3.48241,2.12226,3.46382
YAPQUC,OC(=O)c1ccc(cc1)C(=O)O,Pb,1.32772,0.84299,1.07582
YAPXIX,OC(=O)c1ccc(cc1)C(C(F)(F)F)(C(F)(F)F)c1ccc(cc1)C(=O)O,Zn,5.20163,4.90411,5.18838
YAQCEY,OC(=O)c1ccncc1,Mn,6.56305,4.40337,6.55784
YARZEZ,N#CNC#N,Cd,5.63038,4.40455,5.63038
YATDOP,OC(=O)c1ccc(cc1)c1cc(cc(n1)c1ccc(cc1)C(=O)O)c1ccncc1,Co,11.31731,8.61642,11.31731
YATDUV,OC(=O)c1c[nH]nc1,Zn,9.16366,5.74687,9.13672
YATTUK,OC(=O)c1cc(cc(c1)C(=O)O)C(=O)O,Tb,2.44131,1.05461,2.42859
YAVTOF,c1ncn(c1)Cn1cncc1,Zn,4.28148,1.99003,4.24115
YAVWUQ,OC(=O)c1cc(cc(c1)C(=O)O)c1nnc([nH]1)c1cc(cc(c1)C(=O)O)C(=O)O,Cu,15.48597,4.88484,14.35845
YAVYAW,OC(=O)c1ccc(cc1)Oc1ccc(cc1)C(=O)O,Cu,2.72863,1.26265,2.70709
YAVYAW01,OC(=O)c1ccc(cc1)Oc1ccc(cc1)C(=O)O,Cu,2.84692,1.30046,2.67615
YAVYAW02,OC(=O)c1ccc(cc1)Oc1ccc(cc1)C(=O)O,Cu,2.82169,1.31527,2.82169
YAVZUT,CC[C@H](Oc1cc(c(cc1c1cc(cc(c1)C(=O)O)C(=O)O)O[C@@H](CC)C)c1cc(cc(c1)C(=O)O)C(=O)O)C,Zn,9.44153,4.51001,9.44153
YAWZUS,OC(=O)CCC(=O)O,Cd,1.5144,0.64028,1.50242
YAXBOP,OC(=O)c1ccc(cc1)C(=O)O,Fe,6.01889,5.80311,6.0179
YAXBUV,OC(=O)c1ccc(cc1)C(=O)O,Fe,2.90847,1.80574,2.87941
YAXBUV02,OC(=O)c1ccc(cc1)C(=O)O,Fe,2.84937,1.70623,2.84937
YAXCAC,OC(=O)c1ccc(cc1)C(=O)O,Fe,2.18791,1.27624,2.10855
YAYNAQ,OCc1ccc(cn1)c1cc(cc(c1)C(=O)O)C(=O)O,Cd,2.69886,1.49311,2.68894
YAYNEU01,OCc1ccc(cn1)c1cc(cc(c1)C(=O)O)C(=O)O,Cd,2.24936,1.18144,2.24936
YAYPIZ,OP(=O)(c1ccc(cc1)P(=O)(O)O)O,U,1.73198,0.87721,1.66974
YAYPOF,OP(=O)(c1ccc(cc1)P(=O)(O)O)O,U,5.14631,3.86326,5.14631
YAYQOH,OC(=O)c1ccc(cc1)c1cc(cc(c1)c1ccc(cc1)C(=O)O)c1ccc(cc1)C(=O)O,Cd,5.41853,1.65094,5.41736
YAYRAT,OC(=O)c1cc(cc(c1)C(=O)O)C(=O)O,Ga,6.10809,5.25441,6.10587
YAYSOJ,O=C(c1ccc(cc1)C(=O)Nc1ccc(cc1)C(=O)O)Nc1ccc(cc1)C(=O)O,Zn,9.45338,8.10709,9.45338
YAZFOW,OC(=O)c1cc(cc(c1)C(=O)O)c1cc(cc(c1)C(=O)O)C(=O)O,In,7.43587,7.30182,7.43587
YAZYIJ,OC(=O)c1cc(O)c(cc1O)C(=O)O,Pr,2.10403,1.13911,2.10403
YEBKOG,OC(=O)C(=O)O,Nd,4.55318,2.62682,4.55318
YEFMAA,Cc1nccc(c1)c1cc(cc(c1)C(=O)O)C(=O)O,Mn,2.99845,2.32984,2.78123
YEFTAH,OC(=O)c1ccc(c(c1)S(O)(O)O)c1ccc(cc1S(O)(O)O)C(=O)O,Eu,3.61216,1.3809,3.60332
YEJXUI,NCCCCP(=O)(O)O,Zn,1.96001,1.27591,1.91278
YEKHUU,O=C(Nc1ccc(cc1C)C(=O)O)Nc1ccc(cc1C)C(=O)O,Zn,9.52283,7.83453,9.50413
YEKJAC,O=C(Nc1ccc(cc1)C(=O)O)Nc1ccc(cc1)C(=O)O,Mn,7.97896,5.76303,7.96002
YEKQOW,OC(=O)c1ccc(o1)C(=O)O,Zn,10.50346,3.96518,10.50346
YEKXET,OC(=O)c1ccc(nc1)c1ccc(cn1)C(=O)O,Zn,6.4446,5.02313,6.43121
YEKXOD,OC(=O)c1ccc(cc1)Nc1ccc(cc1)C(=O)O,Cu,7.60419,4.45375,7.60066
YEKXUJ,OC(=O)c1ccc(cc1)Nc1ccc(cc1)C(=O)O,Cu,6.10222,5.23059,6.10221
YEKYAQ,OC(=O)c1ccc(cc1)Nc1ccc(cc1)C(=O)O,Cu,2.87926,1.32098,2.87106
YELYOE,OC(=O)c1[nH]cnc1C(=O)O,Cd,5.049,3.59802,5.049
YEMGED,[nH]1cnnc1,Cu,7.66746,4.13638,7.66746
YEMHOO,OC(=O)[C@@H]1[C@@H](C(=O)O)[C@H](C(=O)O)[C@H]([C@@H]([C@H]1C(=O)O)C(=O)O)C(=O)O,Cd,5.65418,1.04235,5.47805
YEMJAC,OC(=O)c1cc(cc(c1)C(=O)O)C(=O)O,Dy,6.11848,5.58744,6.11095
YEMSAN,OC(=O)c1ccc(cc1)n1c2cc(ccc2c2c1cc(cc2)c1ccc(cc1)C(=O)O)c1ccc(cc1)C(=O)O,Eu,4.92739,2.16375,3.99603
YEMSER,OC(=O)c1ccc(cc1)n1c2cc(ccc2c2c1cc(cc2)c1ccc(cc1)C(=O)O)c1ccc(cc1)C(=O)O,Tb,4.89256,2.16467,4.40665
YENTUJ,OC(=O)c1c[nH]nc1,Zn,4.24394,1.93298,4.24394
YENZAV,OC(=O)c1cc(Oc2cc(cc(c2)C(=O)O)C(=O)O)cc(c1)C(=O)O,Gd,3.70238,1.61094,3.70238
YENZEZ,OC(=O)c1cc(Oc2cc(cc(c2)C(=O)O)C(=O)O)cc(c1)C(=O)O,Tb,3.54501,1.68427,3.54501
YEPBAZ,OC(=O)c1cc(Oc2cc(cc(c2)C(=O)O)C(=O)O)cc(c1)C(=O)O,Dy,3.64412,1.6093,3.64412
YEPLAG01,OC(=O)C(=O)O,Hg,0.99623,0.37608,0.99463
YEPLAG02,OC(=O)C(=O)O,Hg,0.97056,0.39612,0.80547
YERFUZ,OC(=O)c1ccc(cc1)C(c1ccc(cc1)C(=O)O)(c1ccc(cc1)C(=O)O)c1ccc(cc1)C(=O)O,Pb,8.68371,7.61711,8.68371
YERLIT,OC(=O)c1cc(OCc2ccc(cc2)COc2cc(cc(c2)C(=O)O)C(=O)O)cc(c1)C(=O)O,Cu,5.65231,3.08478,5.6523
YESXAY,O=N(=O)c1ncc[nH]1,Zn,11.45248,3.79649,11.45154
YESXEC,O=N(=O)c1ncc[nH]1,Zn,11.55044,4.04957,11.54642
YESXIG,O=N(=O)c1ncc[nH]1,Zn,11.33917,4.00263,11.33917
YESXOM,OC(=O)c1ncc[nH]1,Zn,10.86914,3.61325,10.86914
YESYAZ,OC(=O)c1ncc[nH]1,Zn,11.17942,3.93772,11.17497
YESYIH,O=N(=O)c1ncc[nH]1,Zn,11.48931,3.78429,11.48931
YESYUT,O=N(=O)c1ncc[nH]1,Zn,11.50061,3.74652,11.50061
YESZAA,O=N(=O)c1ncc[nH]1,Zn,11.2366,3.99477,11.2366
YESZEE,O=N(=O)c1ncc[nH]1,Zn,11.12065,3.97173,11.12063
YESZII,O=N(=O)c1ncc[nH]1,Zn,11.42467,4.01207,11.42467
YETGIQ,O=N(=O)c1ncc[nH]1,Zn,11.60451,3.95908,11.60451
YEVKAO,N#CC(c1ccc(cc1)C(C#N)C#N)C#N,Cu,6.09557,4.2747,6.0886
YEVRID,Cc1cc(C)c(c(c1c1cc(cc(c1)C(=O)O)C(=O)O)C)c1cc(cc(c1)C(=O)O)C(=O)O,Cu,6.8859,4.35213,6.88291
