Id,Label,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,componentnumber,modularity_class,eigencentrality
TEQVIW,,13,11.200572,10,0.323065,0.36241,0.000002,9,10,0.13333
UKALEZ,,5,4.165832,10,0.309707,0.34168,0,9,10,0.075072
UNAGUN,,53,46.37302,9,0.387657,0.443555,0.000098,9,10,0.572342
VEGMOK01,,67,60.348335,9,0.386662,0.450611,0.000081,9,10,0.809895
VEJHEZ,,9,7.483121,10,0.315542,0.349764,0.000104,9,10,0.086587
VOLQOD,,48,40.689993,9,0.378531,0.433472,0.000055,9,10,0.543806
WISTID,,28,23.61897,9,0.367683,0.415901,0.000046,9,10,0.34234
WOYJAX,,11,9.262451,10,0.321943,0.359563,0.000002,9,10,0.1196
WUPZOY,,25,21.780769,10,0.342419,0.392205,0.000015,9,10,0.258829
XOHNEO,,26,21.735755,9,0.371534,0.417491,0.000071,9,10,0.323633
YODWOF,,10,8.601303,10,0.318038,0.354947,0.000001,9,10,0.11696
YOVCAP,,38,33.238706,10,0.370735,0.424545,0.000036,9,10,0.413221
ACODIH,,41,35.229629,9,0.365123,0.419978,0.000019,9,10,0.544694
ESEDIQ,,42,35.828325,10,0.381525,0.436464,0.000026,9,10,0.559436
ETIXOW,,20,17.055308,10,0.340486,0.39037,0.000003,9,10,0.279186
FAGXIX,,53,45.732265,9,0.387283,0.444514,0.000064,9,10,0.653853
FECYUJ,,45,38.107374,10,0.378769,0.433658,0.000025,9,10,0.544932
FIKPUN,,28,23.733229,10,0.351706,0.402682,0.000062,9,10,0.334889
GAJVEU,,73,65.441001,9,0.388406,0.454218,0.000083,9,10,0.827908
GAZBUH,,63,56.252863,10,0.382736,0.443775,0.000065,9,10,0.696569
GOVSER,,43,36.867613,10,0.375117,0.430314,0.000025,9,10,0.553347
GUGNON,,54,47.226905,9,0.386167,0.442625,0.000085,9,10,0.675179
IGINIX01,,12,10.01383,9,0.33398,0.376602,0.000001,9,10,0.190319
JUKVEQ,,27,22.643572,10,0.365898,0.416226,0.000015,9,10,0.352009
JUKVEQ01,,31,26.249192,10,0.363144,0.417125,0.000046,9,10,0.373862
KULMEK,,54,47.443501,10,0.372798,0.434696,0.00005,9,10,0.60039
LAWGUM,,74,65.549027,9,0.404291,0.462631,0.000319,9,10,0.809076
LEKNUN,,26,22.636151,10,0.346851,0.396923,0.000008,9,10,0.321318
MIBQAR01,,66,58.291233,10,0.389787,0.450339,0.000085,9,10,0.70853
MIBQAR09,,88,78.805034,9,0.39554,0.463842,0.000121,9,10,1
NODTIL,,55,48.864179,9,0.379245,0.43844,0.000104,9,10,0.596741
NOXMAQ,,38,32.785378,9,0.363144,0.418363,0.000012,9,10,0.513851
ODODIW,,37,31.408442,9,0.374651,0.425617,0.000017,9,10,0.50349
PICDAJ,,28,24.210076,9,0.350174,0.398115,0.000009,9,10,0.326137
PICTIG,,78,68.387518,8,0.392834,0.457445,0.000227,9,10,0.83055
PIWLEP,,47,40.934017,9,0.370735,0.428975,0.00005,9,10,0.509337
POKZIA,,35,29.504136,10,0.366454,0.420669,0.000017,9,10,0.426831
PURSOK,,60,53.243123,9,0.384566,0.444108,0.000067,9,10,0.645671
QAQSAD,,52,44.272957,9,0.383222,0.444364,0.000047,9,10,0.673246
UGUKUD,,23,20.116911,9,0.344375,0.38898,0.000007,9,10,0.273012
UNIGEE,,79,69.600183,9,0.399735,0.463544,0.000143,9,10,0.860834
UWAGAB,,24,21.0487,9,0.347751,0.395947,0.000005,9,10,0.310039
UWAGAB03,,26,23.067081,10,0.34705,0.399906,0.000005,9,10,0.341569
UWAGAB05,,22,19.091038,9,0.351194,0.397286,0.000033,9,10,0.294191
VEGMOK02,,75,67.088251,9,0.392195,0.455454,0.000091,9,10,0.868647
