Id,Label,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,componentnumber,modularity_class,eigencentrality
LIPQIL,,13,24.067375,10,0.258903,0.281815,0.000003,3,147,0.000406
LIPQOR,,13,24.156356,10,0.258903,0.281815,0.000003,3,147,0.000406
LIPRAE,,13,24.065214,10,0.258903,0.281815,0.000003,3,147,0.000406
MARDEQ,,3,5.051374,11,0.233222,0.250614,0,3,2,0.000109
OHIHIX,,25,44.181326,10,0.321051,0.358618,0.000005,3,147,0.002004
OSUGUG,,25,44.16101,10,0.321051,0.358618,0.000005,3,147,0.002004
QUJKUD,,67,112.693131,9,0.36608,0.422888,0.000012,3,2,0.017362
QUJLAK,,67,112.682109,9,0.36608,0.422888,0.000012,3,2,0.017362
QUJLAK01,,67,112.68914,9,0.36608,0.422888,0.000012,3,2,0.017362
QUJLAK02,,66,111.090233,9,0.365967,0.422466,0.000011,3,2,0.016965
XANMUX,,25,42.652674,10,0.302682,0.341584,0.000035,3,2,0.002305
YUNHUL,,11,20.962346,11,0.237523,0.258141,0,3,147,0.000329
YUNJEX,,11,20.981995,11,0.237523,0.258141,0,3,147,0.000329
YUNJIB,,11,21.00267,11,0.237523,0.258141,0,3,147,0.000329
YUNJOH,,11,21.003133,11,0.237523,0.258141,0,3,147,0.000329
YUNJUN,,11,21.000819,11,0.237523,0.258141,0,3,147,0.000329
YUNKIC,,11,20.995315,11,0.237523,0.258141,0,3,147,0.000329
AFOYOK,,7,12.737536,11,0.289873,0.317383,0,3,2,0.000717
GAYGAQ,,7,13.211141,11,0.289873,0.317383,0,3,2,0.000717
HUJVOX,,7,13.22236,11,0.289873,0.317383,0,3,2,0.000717
QIJFEX,,7,13.210379,11,0.289873,0.317383,0,3,2,0.000717
UTEWUM,,7,12.93238,11,0.289873,0.317383,0,3,2,0.000717
XISMUK,,7,13.210578,11,0.289873,0.317383,0,3,2,0.000717
ALUKAU,,67,116.008549,4,0.634831,0.771386,0.000003,22,18,0.002361
ASIRAX,,42,72.533147,4,0.545894,0.654867,0,22,18,0.001611
BETDEL,,16,26.417413,4,0.47479,0.533186,0,22,18,0.000689
BIJTAS,,26,44.655849,4,0.45749,0.553097,0,22,18,0.000998
BIRBUC,,16,26.683775,4,0.453815,0.517699,0,22,18,0.000637
CAVWII,,43,74.471688,4,0.55122,0.660767,0.000001,22,18,0.001638
CITMIE,,1,1.609117,5,0.361022,0.394248,0,22,18,0.00004
DALSUH,,12,19.628752,4,0.43295,0.489676,0,22,18,0.000464
DARFAF,,26,44.680367,4,0.45749,0.553097,0,22,18,0.000998
ELILAN,,41,69.958666,4,0.543269,0.650442,0.000001,22,18,0.001563
FINFUG,,46,80.0219,4,0.559406,0.674041,0.000001,22,18,0.001718
GENGIR,,26,44.680223,4,0.45749,0.553097,0,22,18,0.000998
LEDHIN,,42,72.285752,4,0.545894,0.654867,0,22,18,0.001607
LIXMAI,,36,61.126269,4,0.518349,0.622419,0.000001,22,18,0.001382
MAKGAJ,,23,38.147395,4,0.489177,0.564159,0,22,18,0.00095
OMUMIU,,43,74.547187,4,0.55122,0.660767,0.000001,22,18,0.001638
PAMTOO,,27,44.803012,4,0.497797,0.582596,0,22,18,0.001052
QIKZAO,,37,63.320691,4,0.525581,0.629056,0,22,18,0.001425
QUMJEP,,36,61.092075,4,0.518349,0.622419,0.000001,22,18,0.001382
RINTUF,,66,114.350014,4,0.631285,0.766962,0.000003,22,18,0.002327
UCEXEG,,66,114.294044,4,0.631285,0.766962,0.000003,22,18,0.002327
UQUTUX,,42,72.67617,4,0.545894,0.654867,0,22,18,0.001611
UQUTUX01,,42,72.698334,4,0.545894,0.654867,0,22,18,0.001611
VUKJUI,,38,65.209763,4,0.528037,0.633481,0,22,18,0.001468
VUKTUS,,38,65.17406,4,0.528037,0.633481,0,22,18,0.001468
YEMSIV,,14,23.367819,5,0.418519,0.491593,0,22,18,0.000582
YICGEZ,,47,78.509641,4,0.562189,0.678466,0.000001,22,18,0.001764
YICZES,,18,29.687259,4,0.478814,0.542035,0,22,18,0.000757
AFUDOX,,20,34.563101,4,0.535714,0.674074,0,29,25,0.000586
AHEQAH,,17,27.944718,4,0.517241,0.640741,0,29,25,0.000507
ATEYUV,,19,33.054488,4,0.529412,0.662963,0,29,25,0.00056
AVIHIY,,21,36.047783,3,0.584416,0.703704,0.000001,29,25,0.000599
BETDAH,,6,9.952495,4,0.454545,0.514815,0,29,25,0.000185
DARFEJ,,14,23.532123,5,0.459184,0.588519,0,29,25,0.000417
